Train samples: 11700
Val samples: 1300
============================================================
Training started at: 2025-12-25 04:06:36.129044
World size: 8 GPUs
Model params: 159,956,768
Batch size: 32 x 8 = 256 effective
Learning rate: 8.00e-04
Condition dropout: 0.1
Validation every 5 epochs
============================================================
Epoch   0 | Batch    0/44 | Loss 1.356198 | LR 8.00e-04 | Uncond: 0/1
Epoch   0 | Batch    1/44 | Loss 5.462815 | LR 8.00e-04 | Uncond: 0/2
Epoch   0 | Batch    2/44 | Loss 2.505054 | LR 8.00e-04 | Uncond: 0/3
Epoch   0 | Batch    3/44 | Loss 1.130738 | LR 8.00e-04 | Uncond: 0/4
Epoch   0 | Batch    4/44 | Loss 1.062468 | LR 8.00e-04 | Uncond: 0/5
Epoch   0 | Batch    5/44 | Loss 1.035486 | LR 8.00e-04 | Uncond: 0/6
Epoch   0 | Batch    6/44 | Loss 1.007126 | LR 8.00e-04 | Uncond: 0/7
Epoch   0 | Batch    7/44 | Loss 0.999132 | LR 8.00e-04 | Uncond: 0/8
Epoch   0 | Batch    8/44 | Loss 1.007057 | LR 8.00e-04 | Uncond: 0/9
Epoch   0 | Batch    9/44 | Loss 0.986956 | LR 8.00e-04 | Uncond: 0/10
Epoch   0 | Batch   10/44 | Loss 0.996421 | LR 8.00e-04 | Uncond: 1/11
Epoch   0 | Batch   11/44 | Loss 0.993396 | LR 8.00e-04 | Uncond: 1/12
Epoch   0 | Batch   12/44 | Loss 0.974188 | LR 8.00e-04 | Uncond: 1/13
Epoch   0 | Batch   13/44 | Loss 0.975307 | LR 8.00e-04 | Uncond: 1/14
Epoch   0 | Batch   14/44 | Loss 0.979441 | LR 8.00e-04 | Uncond: 1/15
Epoch   0 | Batch   15/44 | Loss 0.966565 | LR 8.00e-04 | Uncond: 1/16
Epoch   0 | Batch   16/44 | Loss 0.964539 | LR 8.00e-04 | Uncond: 1/17
Epoch   0 | Batch   17/44 | Loss 0.949202 | LR 8.00e-04 | Uncond: 1/18
Epoch   0 | Batch   18/44 | Loss 0.948830 | LR 8.00e-04 | Uncond: 1/19
Epoch   0 | Batch   19/44 | Loss 0.935258 | LR 8.00e-04 | Uncond: 1/20
Epoch   0 | Batch   20/44 | Loss 0.908587 | LR 8.00e-04 | Uncond: 1/21
Epoch   0 | Batch   21/44 | Loss 0.879587 | LR 8.00e-04 | Uncond: 1/22
Epoch   0 | Batch   22/44 | Loss 0.949514 | LR 8.00e-04 | Uncond: 1/23
Epoch   0 | Batch   23/44 | Loss 0.894966 | LR 8.00e-04 | Uncond: 2/24
Epoch   0 | Batch   24/44 | Loss 0.870604 | LR 8.00e-04 | Uncond: 3/25
Epoch   0 | Batch   25/44 | Loss 0.900408 | LR 8.00e-04 | Uncond: 3/26
Epoch   0 | Batch   26/44 | Loss 0.851108 | LR 8.00e-04 | Uncond: 3/27
